map,action_seq,instruct
"1000
0003
3200
0000
",RULRDD,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (3, 1), (0, 2)."
"1200
0003
0000
0300
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (3, 1), (1, 3)."
"1000
2000
0030
0003
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (2, 2), (3, 3)."
"1300
0000
3000
2000
",DRDDL,"The agent is at (0, 0). The goal is at (0, 3). Obstacles are located at (1, 0), (0, 2)."
"1002
0033
0000
0000
",RRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (2, 1), (3, 1)."
"1020
0000
0030
0003
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (2, 2), (3, 3)."
"1230
0000
0000
0030
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (2, 0), (2, 3)."
"1003
0000
0203
0000
",DRD,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (3, 0), (3, 2)."
"1300
0000
0302
0000
",DDRRR,"The agent is at (0, 0). The goal is at (3, 2). Obstacles are located at (1, 0), (1, 2)."
"1020
0000
3000
0003
",RUR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (0, 2), (3, 3)."
"1300
2300
0000
0000
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (1, 0), (1, 1)."
"1030
0002
0003
0000
",DLRRR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (2, 0), (3, 2)."
"1300
0000
0320
0000
",DDRR,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (1, 0), (1, 2)."
"1300
0000
0003
2000
",DDD,"The agent is at (0, 0). The goal is at (0, 3). Obstacles are located at (1, 0), (3, 2)."
"1000
0000
3002
0300
",RRDRD,"The agent is at (0, 0). The goal is at (3, 2). Obstacles are located at (0, 2), (1, 3)."
"1002
0000
0003
0300
",RRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (3, 2), (1, 3)."
"1000
3020
0000
0300
",RRD,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (0, 1), (1, 3)."
"1002
0003
0003
0000
",RRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (3, 1), (3, 2)."
"1032
0000
0030
0000
",DRRRU,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (2, 0), (2, 2)."
"1020
0000
0000
0303
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (1, 3), (3, 3)."
"1020
0000
0330
0000
",RUR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (1, 2), (2, 2)."
